ID	Stratum	Region	Reference
253	3	AFR	0.000131258
254	3	SEAS	0.003869184
255	3	EUR	6.12121E-05
256	3	LAM	0.008199643
257	3	NEAS	0.01264966
258	3	LAM	0.0014276
259	3	LAM	0.018197811
260	3	LAM	0.020666138
261	3	LAM	0.004072194
262	3	LAM	0
263	3	LAM	0
264	3	LAM	0.009475473
265	3	EUR	0.001521505
266	3	NEAS	0
267	3	LAM	0.028879374
268	3	EUR	0.001483982
269	3	NAM	0.000425682
270	3	SEAS	0.009076183
271	3	EUR	0.004024113
272	3	LAM	0.017889483
273	3	AFR	0.000900617
274	3	AFR	0
275	3	NAM	0.001958554
276	3	SEAS	0.020814815
277	3	NEAS	0
278	3	AFR	0.011245902
279	3	EUR	0.000376749
280	3	AFR	0.004359774
281	3	AFR	0
282	3	AFR	0.017674908
283	3	NAM	0.001803846
284	3	SEAS	0.001079321
285	3	AFR	0.024404236
286	3	LAM	0.008028083
287	3	EUR	0.000484848
288	3	NEAS	0
289	3	LAM	0.025398429
290	3	LAM	0
291	3	EUR	0.002279714
292	3	EUR	0.000411439
293	3	NEAS	0.002829464
294	3	NAM	0
295	3	LAM	0.010690301
296	3	EUR	0
297	3	LAM	0
298	3	LAM	4.41358E-05
299	3	NEAS	0.002849492
300	3	NEAS	0
301	3	AFR	0.004272867
302	3	LAM	0.003722222
303	3	NEAS	0.001597037
304	3	LAM	0
305	3	EUR	0.008182259
306	3	NAM	0
307	3	AFR	0.014243613
308	3	NAM	0.019659722
309	3	NAM	0.000929487
310	3	AFR	0
311	3	LAM	0.000254902
312	3	LAM	0.001694444
313	3	LAM	0
314	3	AFR	0
315	3	AFR	0.00014072
316	3	AFR	0
317	3	NEAS	0.025969931
318	3	LAM	0.00187
319	3	NAM	0
320	3	NEAS	0
321	3	LAM	0.003213904
322	3	NEAS	0.001212653
323	3	LAM	0.000748634
324	3	NEAS	0.00373531
325	3	AFR	0.002397483
326	3	LAM	0.000726404
327	3	LAM	0.020859017
328	3	LAM	0.000345238
329	3	LAM	0.006552486
330	3	AFR	0.004000309
331	3	LAM	0.001687198
332	3	NAM	0.000834552
333	3	SEAS	0.002983951
334	3	NEAS	0.000312848
335	3	LAM	0.002110514
336	3	NAM	0
337	3	AFR	0
338	3	LAM	0.000115407
339	3	AFR	0
340	3	AFR	0
341	3	NAM	0.049631971
342	3	NEAS	0.000631111
343	3	EUR	0.000568072
344	3	NAM	0.003816434
345	3	SEAS	4.10628E-05
346	3	NEAS	0.002567703
347	3	AFR	0.018648765
348	3	AFR	0.008445062
349	3	NAM	0.000452915
350	3	NAM	0.00186273
351	3	NAM	0.003751231
352	3	SEAS	0.003649691
353	3	NEAS	0.000130471
354	3	AFR	0
355	3	EUR	0
356	3	AUS	2.62487E-05
357	3	NEAS	0.002917852
358	3	LAM	0.007966312
359	3	AFR	0.00098642
360	3	NAM	0.000127958
361	3	AFR	0.001061111
362	3	LAM	0
363	3	AFR	0.013273765
364	4	NAM	0.046915064
365	4	AFR	0.025853704
366	4	NAM	0.021965702
367	4	SEAS	0.026539815
368	4	NEAS	0.097767677
369	4	NEAS	0.065678922
370	4	NAM	0.043371023
371	4	AFR	0.046358333
372	4	AFR	0.092040823
373	4	NAM	0.025611638
374	4	AFR	0.041417434
375	4	LAM	0
376	4	AFR	0.029
377	4	AFR	0.027781768
378	4	SEAS	0.104746881
379	4	AFR	0.051623955
380	4	AFR	0.010182065
381	4	NEAS	0.018109162
382	4	AFR	0.060433088
383	4	AFR	0.113039072
384	4	LAM	0.039329983
385	4	LAM	0.17759188
386	4	AFR	0.040841049
387	4	LAM	0.206776077
388	4	NEAS	0.011965895
389	4	NEAS	0.026501596
390	4	SEAS	0.028722222
391	4	NEAS	0
392	4	NEAS	0.039187664
393	4	SEAS	0.052681173
394	4	SEAS	0.147450911
395	4	NAM	0.02691604
396	4	LAM	0
397	4	NAM	0.064514909
398	4	NAM	0.048082836
399	4	NEAS	0
400	4	AFR	0.045269231
401	4	LAM	0
402	4	SEAS	0.043240331
403	4	SEAS	0.064935137
404	4	NAM	0.043357862
405	4	LAM	0.043469338
406	4	NEAS	0.057979381
407	4	LAM	0.345867021
408	4	AFR	0.044493519
409	4	NEAS	0.074897756
410	4	NEAS	0.091553241
411	4	LAM	0.093271539
412	4	NEAS	0.296590236
413	4	AFR	0.101895062
414	4	LAM	0.019369263
415	4	LAM	0.136827257
416	4	LAM	0.024841928
417	4	NEAS	0.013902707
